Part,Value,Device,Package,Description,Qty/board,Digikey PN, Digikey Cost ,Cost/Board
C1-2,10uF,CAP_POL1206,EIA3216,Capacitor Polarized,2,1276-1804-1-ND, $0.34 , $0.68 
C3,.1uF,C-USC0805,C0805,"CAPACITOR, American symbol",2,1276-1099-1-ND, $0.10 , $0.20 
JP1/2,M023.5MM,M04-3.5MM,SCREWTERMINAL-3.5MM-4,,1,ED2637-ND, $0.73 , $0.73 
JP4-7,,PINHD-1X63.5MM-RA,1X06-3.5M-RA,TERM BLOCK HDR 6POS R/A 3.5MM,4,WM7774-ND, $1.54 , $6.16 
JP4-7,(Mating Conn),PINHD-1X63.5MM-RA,1X06-3.5M-RA,TERM BLOCK PLUG 6POS STR 3.5MM,4,WM7736-ND, $2.24 , $8.96 
RN1-2,10K,4R-NEXB38V,EXB38V,Array Chip Resistor,2,Y9103CT-ND, $0.12 , $0.24 
S1,SHIELD,"PINHD-1x40-0.1""",CONN HEADR BRKWAY .100 40POS STR,,1,A32701-40-ND, $3.01 , $3.01 
U1,MIC39100-5.0WS,V_REG_LDOSMD,SOT-223 ,Voltage Regulator LDO,1,576-1173-ND, $1.66 , $1.66 
U2,,PCA9685,TSSOP28,PCA9685 - 16 Channel 12-Bit I2C PWM Controller,1,568-8366-5-ND, $2.36 , $2.36 
U3-10,DMN6040SSD,DMN6040SSD,SO8,MOSFET 2N-CH 60V 5A 8SO,8,DMN6040SSD-13DICT-ND, $0.46 , $3.68 
,,,,,,, Total: , $27.68 
,,,,,,,,
SOL,,,SOLDER PASTE NO-CLEAN LF 5CC SYR,Solder Paste,,SMD291SNL-ND, $15.30 ,
FLUX,,,TACK FLUX 10CC WATER WASHABLE,"Solder Flux, Organic",,SMD4300TF10-ND, $14.93 ,
BRAID,,,"BRAID ROSIN GOLD .050""X5'",Solder Braid,,EB1087-ND, $2.77 ,
